,,,,,
ID,Name,Segment-Prefab,Segment-Height,Difficulty,Segment-Type,LaneIndex,YOffset,Prefab,Speed
1,Segment-Easy-01,Prefab_Segment_Easy_01,20,Easy,Object,1,5,Prefab_Collectible_Coin,0
1,Segment-Easy-01,Prefab_Segment_Easy_01,20,Easy,Object,1,6,Prefab_Collectible_Coin,0
1,Segment-Easy-01,Prefab_Segment_Easy_01,20,Easy,Object,1,7,Prefab_Collectible_Coin,0
1,Segment-Easy-01,Prefab_Segment_Easy_01,20,Easy,Object,3,8,Prefab_HidableObject_Bush,0
1,Segment-Easy-01,Prefab_Segment_Easy_01,20,Easy,Object,1,14,Prefab_HidableObject_Bush,0
2,Segment-Easy-02,Prefab_Segment_Easy_02,20,Easy,Object,2,4,Prefab_Collectible_Coin,0
2,Segment-Easy-02,Prefab_Segment_Easy_02,20,Easy,Object,2,5,Prefab_Collectible_Coin,0
2,Segment-Easy-02,Prefab_Segment_Easy_02,20,Easy,Object,2,6,Prefab_Collectible_Coin,0
2,Segment-Easy-02,Prefab_Segment_Easy_02,20,Easy,Object,0,9,Prefab_HidableObject_Bush,0
2,Segment-Easy-02,Prefab_Segment_Easy_02,20,Easy,Object,4,13,Prefab_HidableObject_Bush,0
2,Segment-Easy-02,Prefab_Segment_Easy_02,20,Easy,Event,1,10,Prefab_HidableObject_Bush,4
3,Segment-Normal-01,Segment-Prefab-03,20,Normal,Object,2,4,Prefab_Collectible_Coin,0
3,Segment-Normal-01,Segment-Prefab-03,20,Normal,Object,2,5,Prefab_Collectible_Coin,0
3,Segment-Normal-01,Segment-Prefab-03,20,Normal,Object,0,8,Prefab_HidableObject_Bush,0
3,Segment-Normal-01,Segment-Prefab-03,20,Normal,Object,4,12,Prefab_HidableObject_Bush,0
3,Segment-Normal-01,Segment-Prefab-03,20,Normal,Event,2,10,Prefab_HidableObject_Bush,6
4,Segment-Normal-02,Segment-Prefab-04,20,Normal,Object,0,5,Prefab_Collectible_Coin,0
4,Segment-Normal-02,Segment-Prefab-04,20,Normal,Object,1,7,Prefab_Collectible_Coin,0
4,Segment-Normal-02,Segment-Prefab-04,20,Normal,Object,2,9,Prefab_Collectible_Coin,0
4,Segment-Normal-02,Segment-Prefab-04,20,Normal,Object,3,11,Prefab_HidableObject_Bush,0
4,Segment-Normal-02,Segment-Prefab-04,20,Normal,Object,4,13,Prefab_HidableObject_Bush,0
4,Segment-Normal-02,Segment-Prefab-04,20,Normal,Event,1,12,Prefab_HidableObject_Bush,7
5,Segment-Hard-01,Segment-Prefab-05,20,Hard,Object,1,4,Prefab_Collectible_Coin,0
5,Segment-Hard-01,Segment-Prefab-05,20,Hard,Object,2,4,Prefab_Collectible_Coin,0
5,Segment-Hard-01,Segment-Prefab-05,20,Hard,Object,3,4,Prefab_Collectible_Coin,0
5,Segment-Hard-01,Segment-Prefab-05,20,Hard,Object,0,8,Prefab_HidableObject_Bush,0
5,Segment-Hard-01,Segment-Prefab-05,20,Hard,Object,4,8,Prefab_HidableObject_Bush,0
5,Segment-Hard-01,Segment-Prefab-05,20,Hard,Object,2,12,Prefab_HidableObject_Bush,0
5,Segment-Hard-01,Segment-Prefab-05,20,Hard,Event,1,5,Prefab_HidableObject_Bush,10
5,Segment-Hard-01,Segment-Prefab-05,20,Hard,Event,3,15,Prefab_HidableObject_Bush,12
