ID,Name,Segment-Prefab,Segment-Height,Difficulty,Segment-Type,LaneIndex,YOffset,Prefab,Speed
31,Seg-11-AggressiveRush,Prefab_Segment_Hard_01,20,Hard,Event,2,2,Prefab_Event_AggressiveCat,8
31,Seg-11-AggressiveRush,Prefab_Segment_Hard_01,20,Hard,Object,1,2,Prefab_Collectible_Coin,0
31,Seg-11-AggressiveRush,Prefab_Segment_Hard_01,20,Hard,Object,3,2,Prefab_Collectible_Coin,0
31,Seg-11-AggressiveRush,Prefab_Segment_Hard_01,20,Hard,Object,1,11,Prefab_Collectible_Coin,0
31,Seg-11-AggressiveRush,Prefab_Segment_Hard_01,20,Hard,Object,3,11,Prefab_Collectible_Coin,0
31,Seg-11-AggressiveRush,Prefab_Segment_Hard_01,20,Hard,Object,2,17,Prefab_Object_Bush,0
32,Seg-12-PincerCat,Prefab_Segment_Hard_01,20,Hard,Event,1,4,Prefab_Event_AggressiveCat,7
32,Seg-12-PincerCat,Prefab_Segment_Hard_01,20,Hard,Event,3,4,Prefab_Event_AggressiveCat,7
32,Seg-12-PincerCat,Prefab_Segment_Hard_01,20,Hard,Object,2,2,Prefab_Collectible_Coin,0
32,Seg-12-PincerCat,Prefab_Segment_Hard_01,20,Hard,Object,2,8,Prefab_Collectible_Coin,0
32,Seg-12-PincerCat,Prefab_Segment_Hard_01,20,Hard,Object,2,14,Prefab_Collectible_Coin,0
33,Seg-13-FlankingFelines,Prefab_Segment_Hard_01,20,Hard,Event,1,2,Prefab_Event_AggressiveCat,8
33,Seg-13-FlankingFelines,Prefab_Segment_Hard_01,20,Hard,Event,2,8,Prefab_Event_AggressiveCat,8
33,Seg-13-FlankingFelines,Prefab_Segment_Hard_01,20,Hard,Object,3,2,Prefab_Collectible_Coin,0
33,Seg-13-FlankingFelines,Prefab_Segment_Hard_01,20,Hard,Object,3,8,Prefab_Collectible_Coin,0
33,Seg-13-FlankingFelines,Prefab_Segment_Hard_01,20,Hard,Object,1,14,Prefab_Object_Bush,0
34,Seg-14-CatChoreography,Prefab_Segment_Medium_01,20,Medium,Event,2,2,Prefab_Event_AggressiveCat,6
34,Seg-14-CatChoreography,Prefab_Segment_Medium_01,20,Medium,Event,3,8,Prefab_Event_AggressiveCat,6
34,Seg-14-CatChoreography,Prefab_Segment_Medium_01,20,Medium,Object,1,2,Prefab_Collectible_Coin,0
34,Seg-14-CatChoreography,Prefab_Segment_Medium_01,20,Medium,Object,1,8,Prefab_Collectible_Coin,0
