,,,,,
ID,Name,Segment-Prefab,Segment-Height,Difficulty,Segment-Type,LaneIndex,YOffset,Prefab,Speed
1,Seg-Stream-CenterRush,Prefab_Segment_Easy_01,20,Easy,Event,0,8,Prefab_Obstacle_MovingObject,4
1,Seg-Stream-CenterRush,Prefab_Segment_Easy_01,20,Easy,Event,1,8,Prefab_Obstacle_MovingObject,4
1,Seg-Stream-CenterRush,Prefab_Segment_Easy_01,20,Easy,Object,0,2,Prefab_Collectible_Coin,0
1,Seg-Stream-CenterRush,Prefab_Segment_Easy_01,20,Easy,Object,1,6,Prefab_Collectible_Coin,0
1,Seg-Stream-CenterRush,Prefab_Segment_Easy_01,20,Easy,Object,0,10,Prefab_Collectible_Coin,0
1,Seg-Stream-CenterRush,Prefab_Segment_Easy_01,20,Easy,Object,1,14,Prefab_Collectible_Coin,0
2,Seg-Stream-SlalomCoin,Prefab_Segment_Easy_02,20,Easy,Object,0,4,Prefab_Object_Bush,0
2,Seg-Stream-SlalomCoin,Prefab_Segment_Easy_02,20,Easy,Object,1,12,Prefab_Object_Bush,0
2,Seg-Stream-SlalomCoin,Prefab_Segment_Easy_02,20,Easy,Object,0,4,Prefab_Collectible_Coin,0
2,Seg-Stream-SlalomCoin,Prefab_Segment_Easy_02,20,Easy,Object,1,8,Prefab_Collectible_Coin,0
2,Seg-Stream-SlalomCoin,Prefab_Segment_Easy_02,20,Easy,Object,1,12,Prefab_Collectible_Coin,0
2,Seg-Stream-SlalomCoin,Prefab_Segment_Easy_02,20,Easy,Object,0,16,Prefab_Collectible_Coin,0
3,Seg-Stream-SplitDecision,Prefab_Segment_Easy_EventTest,20,Easy,Object,0,6,Prefab_Object_Bush,0
3,Seg-Stream-SplitDecision,Prefab_Segment_Easy_EventTest,20,Easy,Object,0,10,Prefab_Collectible_Coin,0
3,Seg-Stream-SplitDecision,Prefab_Segment_Easy_EventTest,20,Easy,Object,1,10,Prefab_Collectible_Coin,0
3,Seg-Stream-SplitDecision,Prefab_Segment_Easy_EventTest,20,Easy,Object,0,14,Prefab_Collectible_Coin,0
3,Seg-Stream-SplitDecision,Prefab_Segment_Easy_EventTest,20,Easy,Object,1,14,Prefab_Collectible_Coin,0
4,Seg-Stream-ChasingCoins,Prefab_Segment_Medium_01,20,Medium,Event,0,3,Prefab_Obstacle_MovingObject,6
4,Seg-Stream-ChasingCoins,Prefab_Segment_Medium_01,20,Medium,Object,0,6,Prefab_Collectible_Coin,0
4,Seg-Stream-ChasingCoins,Prefab_Segment_Medium_01,20,Medium,Object,0,10,Prefab_Collectible_Coin,0
4,Seg-Stream-ChasingCoins,Prefab_Segment_Medium_01,20,Medium,Object,1,12,Prefab_Collectible_Coin,0
4,Seg-Stream-ChasingCoins,Prefab_Segment_Medium_01,20,Medium,Object,1,16,Prefab_Collectible_Coin,0
4,Seg-Stream-ChasingCoins,Prefab_Segment_Medium_01,20,Medium,Object,1,18,Prefab_Object_Bush,0
5,Seg-Stream-TheWeave,Prefab_Segment_Medium_02,20,Medium,Event,0,2,Prefab_Obstacle_MovingObject,6
5,Seg-Stream-TheWeave,Prefab_Segment_Medium_02,20,Medium,Event,1,10,Prefab_Obstacle_MovingObject,6
